external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
XRN2,2167.091968,2021.679239,3449.810006,3504.630028,1889.16319,1703.23307,2970.426036,3434.420059,1681.829168,1567.251815,3085.089942,2986.084685
KIZ,425.6974111,423.5442016,470.4700009,325.1626742,401.2037291,438.9342929,299.0361781,184.3011066,516.8063366,439.6643543,521.9096582,347.6543186
DYNLL1,4012.824125,4193.183637,4243.330008,3709.527055,4288.595201,4400.893832,7488.245628,9469.7636,5284.013506,5203.958262,6673.758005,6437.021604
TESC,0.0,1.920835381,0.0,0.890856642,0.0,0.0,0.0,0.0,1.104287044,0.947552488,0.0,0.984856427
SNX5,1417.947994,1588.53086,1314.040002,1639.17622,1377.920574,1500.567236,1647.072282,1557.240811,1606.737649,1661.059511,1769.532539,1717.589608
RPL6,6668.216065,5082.530419,6792.240013,6611.047137,6428.99762,4959.537477,8148.973183,9066.993205,5325.976413,5331.877848,7407.019508,7291.876982
MAPKAPK5,880.6093504,813.473784,799.8900015,894.4200681,806.30264,779.160874,683.5112642,844.8859718,807.2338292,818.6853493,816.2925852,737.6574635
P2RX7,104.3376008,66.26882065,64.61000012,55.23311178,107.1175005,71.40557875,36.07420561,22.77878846,113.7415655,78.64685647,31.27144646,20.68198496
ESF1,832.6140541,623.3110812,741.6500014,806.2252606,872.5207312,707.7552953,853.439759,423.4783854,1288.70298,1215.709842,1109.597187,1070.538936
RBBP9,854.5249502,992.1114744,839.9300016,736.7384426,857.9137993,934.573016,924.6388491,969.1339088,1252.261508,1246.031521,1191.549943,961.2198723
ANAPC5,2624.090659,3375.868183,3307.850006,3832.465272,3014.870741,3705.739521,4838.690158,6740.450584,4737.391419,4934.853355,5838.055557,5019.813206
SLC23A2,1275.005481,1214.928379,1855.490003,799.9892641,1203.611187,1053.232287,871.4768618,675.0804578,920.9753947,863.2203162,795.8043962,836.1431062
SLC8B1,337.0104505,341.9086979,586.9500011,460.5728837,330.1166606,353.8776476,337.0090261,382.0624064,351.16328,297.5314811,258.7981776,315.1540565
TMEM230,3955.438445,3882.968723,3491.670007,2620.009383,3981.849631,4087.969384,3435.593424,3237.694159,3973.224784,4552.989703,3900.304202,3685.332748
DZANK1,73.03632053,112.3688698,98.28000018,96.21251729,64.27050029,78.75615304,79.74298082,57.98237061,56.31863925,83.38461891,83.03108198,65.98538058
KDM2B,439.2612992,346.7107863,522.340001,632.5082155,397.3085472,341.2766632,474.6606001,532.1953303,300.366076,304.1643485,389.2755922,398.8668528
CFAP61,1.043376008,0.0,0.0,2.672569925,0.0,3.150246121,3.797284801,0.0,0.0,0.0,0.0,0.0
LHX5,0.0,0.0,0.0,0.890856642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TASP1,180.5040493,187.2814497,265.7200005,258.348426,186.9687281,183.7643571,218.3438761,195.6905008,183.3116493,162.0314754,195.1769589,265.9112352
